secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
0,0,117,0,2.48714,0,119,0,0.00000000,0.00000000,0,0,0,0,-255,0,0,0,0,78.1,13.07,10.2077,2.86233
1,1,118,0.00152001,8.24295,0,348,0,0.00000000,0.00000000,0,0,0,0,-255,0,0,0,0,78.1,13.07,10.2077,2.86233
2,56,119,0.00464264,12.9972,0,292,0,0.00000000,0.00000000,0,0,0,0,-255,0,0,0,0,77.8,13.07,10.1685,2.90154
3,68,120,0.00872298,15.9087,0,307,0,0.00000000,0.00000000,0,0,0,0,-255,0,0,0,0,77.8,13.07,10.1685,2.90154
4,81,121,0.0136624,18.3078,0,301,0,0.00000000,0.00000000,0,0,0,0,-255,0,0,0,0,77,13.06,10.0562,3.0038
5,84,122,0.019199,20.2873,0,302,0,0.00000000,0.00000000,0,0,0,0,-255,0,0,0,0,77,13.06,10.0562,3.0038
6,88,123,0.0252877,21.9963,0,306,0,0.00000000,0.00000000,0,0,0,0,-255,0,0,0,0,74.9,13.05,9.77445,3.27555
7,88,124,0.0317721,23.4664,0,302,0,0.00000000,0.00000000,0,0,0,0,-255,0,0,0,0,74.9,13.05,9.77445,3.27555
8,88,125,0.0374953,24.5318,0,300,0,0.00000000,0.00000000,0,0,0,0,-255,0,0,0,0,70.9,13.03,9.23827,3.79173
9,98,126,0.0447679,25.6719,0,301,0,0.00000000,0.00000000,0,0,0,0,-255,0,0,0,0,70.9,13.03,9.23827,3.79173
10,100,128,0.0522501,26.66,0,297,0,0.00000000,0.00000000,0,0,0,0,-255,0,0,0,0,65.6,13.01,8.53456,4.47544
11,98,129,0.0601948,27.5408,0,298,0,0.00000000,0.00000000,0,0,0,0,-255,0,0,0,0,65.6,13.01,8.53456,4.47544
12,96,130,0.0682338,28.3041,0,299,0,0.00000000,0.00000000,0,0,0,0,-255,0,0,0,0,60.5,12.98,7.8529,5.1271
13,95,131,0.0765299,28.9879,0,301,0,0.00000000,0.00000000,0,0,0,0,-255,0,0,0,0,60.5,12.98,7.8529,5.1271
14,96,133,0.08487,29.5884,0,300,0,0.00000000,0.00000000,0,0,0,0,-255,0,0,0,0,56.4,12.96,7.30944,5.65056
15,97,134,0.0915359,30.0112,0,299,0,0.00000000,0.00000000,0,0,0,0,-255,0,0,0,0,56.4,12.96,7.30944,5.65056
16,96,134,0.100158,30.49,0,299,0,0.00000000,0.00000000,0,0,0,0,-255,0,0,0,0,51.6,12.95,6.6822,6.2678
17,96,135,0.10883,30.9119,0,300,0,0.00000000,0.00000000,0,0,0,0,-255,0,0,0,0,51.6,12.95,6.6822,6.2678
