secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
0,0,0,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,69.6,12.99,9.04104,3.94896
1,88,0,9.46085e-05,1.27332,0,44,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,70.8,13.02,9.21816,3.80184
2,1,0,0.000875827,3.92026,0,58,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,70.8,13.02,9.21816,3.80184
3,88,0,0.00221647,5.35379,0,33,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,70.8,13.02,9.21816,3.80184
4,1,0,0.00385069,6.2484,0,47,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,71.6,13.05,9.3438,3.7062
5,83,0,0.00574867,7.21159,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,70.7,13.06,9.23342,3.82658
6,88,0,0.00790313,8.03569,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,70.7,13.06,9.23342,3.82658
7,93,0,0.010265,8.63671,0,38,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,70.7,13.06,9.23342,3.82658
8,93,0,0.0127669,9.08683,0,38,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,69.8,13.06,9.11588,3.94412
9,93,0,0.015364,9.28011,0,25,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,69.2,13.06,9.03752,4.02248
10,0,0,0.0180319,9.70309,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,69.2,13.06,9.03752,4.02248
11,86,0,0.0208546,10.2508,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,68.1,13.06,8.89386,4.16614
12,86,0,0.0232029,10.6464,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,68.1,13.06,8.89386,4.16614
13,85,0,0.0262814,11.1085,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,68.1,13.06,8.89386,4.16614
14,85,0,0.0294687,11.5293,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,67.8,13.05,8.8479,4.2021
15,85,0,0.0327751,11.9166,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,68.3,13.06,8.91998,4.14002
16,85,0,0.03619,12.27,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,68.3,13.06,8.91998,4.14002
17,85,0,0.0397054,12.597,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,68.9,13.06,8.99834,4.06166
18,85,0,0.043304,12.9027,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,68.9,13.06,8.99834,4.06166
19,86,0,0.0469745,13.1745,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,69.2,13.06,9.03752,4.02248
20,86,0,0.0507313,13.4267,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,69.2,13.06,9.03752,4.02248
21,86,0,0.0545523,13.6678,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,69.6,13.05,9.0828,3.9672
22,87,0,0.0584382,13.8853,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,69.6,13.05,9.0828,3.9672
23,86,0,0.0623796,14.0877,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,69.7,13.05,9.09585,3.95415
24,86,0,0.0663768,14.2765,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,69.7,13.05,9.09585,3.95415
25,87,0,0.0696156,14.4196,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,69.7,13.05,9.09585,3.95415
26,87,0,0.073712,14.5897,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,69.6,13.05,9.0828,3.9672
27,87,0,0.0778596,14.7496,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,69.6,13.05,9.0828,3.9672
28,88,0,0.0820456,14.8957,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,69.6,13.05,9.0828,3.9672
29,88,0,0.0862574,15.041,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,69.9,13.05,9.12195,3.92805
30,88,0,0.0905293,15.1732,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,69.9,13.05,9.12195,3.92805
31,89,0,0.0948127,15.3002,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,69.9,13.06,9.12894,3.93106
32,89,0,0.0991509,15.4194,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,69.9,13.06,9.12894,3.93106
33,89,0,0.103518,15.5217,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,69.9,13.06,9.12894,3.93106
34,90,0,0.107905,15.6222,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,69.6,13.05,9.0828,3.9672
35,90,0,0.112343,15.7167,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,69.6,13.05,9.0828,3.9672
36,90,0,0.116777,15.7996,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,69.6,13.05,9.0828,3.9672
37,90,0,0.121252,15.8834,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,69.7,13.05,9.09585,3.95415
38,90,0,0.124839,15.9409,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,69.7,13.05,9.09585,3.95415
39,90,0,0.129341,16.0156,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,69.7,13.05,9.09585,3.95415
40,90,0,0.133883,16.0817,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,69.8,13.05,9.1089,3.9411
