secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
0,1,0,0,10.2217,0,451,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,79.2,13.21,10.4623,2.74768
1,1,0,0.00331521,15.1188,0,507,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,79.2,13.21,10.4623,2.74768
2,71,0,0.00820903,19.1151,0,434,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,78.8,13.19,10.3937,2.79628
3,67,0,0.0139379,21.3565,0,324,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,77.6,13.17,10.2199,2.95008
4,74,0,0.0201906,22.8839,0,298,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,77.6,13.17,10.2199,2.95008
5,79,0,0.0268349,24.2068,0,304,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,74.6,13.14,9.80244,3.33756
6,81,0,0.0338439,25.3975,0,310,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,74.6,13.14,9.80244,3.33756
7,88,0,0.0411697,26.4527,0,305,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,69,13.1,9.039,4.061
8,96,0,0.0487528,27.3431,0,300,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,69,13.1,9.039,4.061
9,97,0,0.0565804,28.1198,0,299,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.2,13.07,8.12954,4.94046
10,94,0,0.0646172,28.791,0,298,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.2,13.07,8.12954,4.94046
11,93,0,0.0728357,29.4066,0,302,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,54.8,13.05,7.1514,5.8986
12,92,0,0.0795123,29.8525,0,300,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,54.8,13.05,7.1514,5.8986
13,93,0,0.0879817,30.3402,0,297,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,54.8,13.05,7.1514,5.8986
14,92,0,0.0966137,30.7788,0,300,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,46.4,13.03,6.04592,6.98408
15,91,0,0.10534,31.1715,0,299,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,38.8,13.02,5.05176,7.96824
16,92,0,0.114222,31.5094,0,297,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,38.8,13.02,5.05176,7.96824
17,91,0,0.123134,31.8297,0,303,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,33.5,13.02,4.3617,8.6583
18,92,0,0.132144,32.1047,0,295,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,33.5,13.02,4.3617,8.6583
19,92,0,0.141247,32.3367,0,302,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,29.4,13.02,3.82788,9.19212
20,90,0,0.150413,32.5652,0,300,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,29.4,13.02,3.82788,9.19212
21,92,0,0.159603,32.7494,0,299,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,25.4,13.03,3.30962,9.72038
22,91,0,0.168898,32.9301,0,301,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,25.4,13.03,3.30962,9.72038
23,92,0,0.178182,33.0799,0,298,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,25.4,13.03,3.30962,9.72038
24,92,0,0.18757,33.2133,0,299,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,23.2,13.04,3.02528,10.0147
25,90,0,0.195041,33.3176,0,302,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,23.2,13.04,3.02528,10.0147
26,91,0,0.204486,33.432,0,299,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,22,13.04,2.8688,10.1712
27,91,0,0.213918,33.5329,0,302,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,20.7,13.04,2.69928,10.3407
28,92,0,0.223385,33.6293,0,300,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,20.7,13.04,2.69928,10.3407
29,92,0,0.232899,33.7071,0,300,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,19.4,13.04,2.52976,10.5102
30,91,0,0.242401,33.7718,0,297,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,19.4,13.04,2.52976,10.5102
31,91,0,0.25193,33.8364,0,304,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,19,13.04,2.4776,10.5624
32,92,0,0.261496,33.9054,0,299,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,19,13.04,2.4776,10.5624
