secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
0,0,108,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61.4,12.85,7.8899,4.9601
1,0,108,0,0,0,0,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61.4,12.85,7.8899,4.9601
2,0,109,0.00014551,1.05836,0,9,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61.6,12.82,7.89712,4.92288
3,1,109,0.000597922,2.14286,0,15,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61.6,12.82,7.89712,4.92288
4,1,110,0.00136492,3.28314,0,25,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.6,12.85,8.0441,4.8059
5,62,111,0.00244356,4.31993,0,33,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.6,12.85,8.0441,4.8059
6,74,110,0.00382969,5.56581,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,64,12.89,8.2496,4.6404
7,76,110,0.0055674,6.65322,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,64,12.89,8.2496,4.6404
8,78,110,0.0075694,7.55557,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,65.2,12.94,8.43688,4.50312
9,80,110,0.00981301,8.33749,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,65.2,12.94,8.43688,4.50312
10,82,114,0.0122641,9.01521,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,66.3,12.98,8.60574,4.37426
11,82,116,0.0148951,9.57459,0,24,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,66.3,12.98,8.60574,4.37426
12,82,117,0.0170489,9.55499,0,11,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,67,12.98,8.6966,4.2834
13,82,117,0.0197856,9.8463,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,67,12.98,8.6966,4.2834
14,82,115,0.0226301,10.3629,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,67,12.98,8.6966,4.2834
15,78,115,0.0256086,10.7295,0,25,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,67.3,12.97,8.72881,4.24119
16,78,114,0.0286536,10.8423,0,43,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,67.1,12.97,8.70287,4.26713
17,75,113,0.0317651,11.2546,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,67.1,12.97,8.70287,4.26713
18,76,113,0.0350039,11.6598,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,66.5,12.96,8.6184,4.3416
19,77,114,0.0383388,12.0435,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,66.5,12.96,8.6184,4.3416
20,78,115,0.0417949,12.3828,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,66,12.95,8.547,4.403
21,78,117,0.0453224,12.696,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,66,12.95,8.547,4.403
22,79,117,0.0489553,12.983,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,65.5,12.95,8.48225,4.46775
23,78,118,0.0526515,13.2529,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,65.5,12.95,8.48225,4.46775
24,79,119,0.0564323,13.5057,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,65,12.95,8.4175,4.5325
25,80,119,0.0594939,13.6952,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,65,12.95,8.4175,4.5325
26,81,119,0.063402,13.9218,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,64.5,12.94,8.3463,4.5937
27,81,120,0.0673434,14.1301,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,64.5,12.94,8.3463,4.5937
28,81,120,0.0713649,14.3232,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.9,12.94,8.26866,4.67134
29,81,120,0.0754292,14.5049,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.9,12.94,8.26866,4.67134
30,82,120,0.0795466,14.667,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.1,12.94,8.16514,4.77486
31,83,120,0.0837039,14.8193,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.1,12.94,8.16514,4.77486
32,83,120,0.0879066,14.965,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.5,12.93,8.08125,4.84875
33,83,120,0.0921532,15.1,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.5,12.93,8.08125,4.84875
34,85,120,0.0964318,15.2322,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.4,12.93,8.06832,4.86168
35,86,120,0.100743,15.3557,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.4,12.93,8.06832,4.86168
36,86,119,0.105091,15.4711,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.6,12.93,8.09418,4.83582
37,86,120,0.109466,15.579,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.6,12.93,8.09418,4.83582
38,86,120,0.113003,15.6606,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.8,12.93,8.12004,4.80996
39,87,120,0.117428,15.7562,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.8,12.93,8.12004,4.80996
40,87,120,0.121895,15.8369,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.2,12.93,8.17176,4.75824
41,87,120,0.126361,15.9111,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.2,12.93,8.17176,4.75824
42,87,120,0.130864,15.9809,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.2,12.93,8.17176,4.75824
43,87,119,0.135376,16.053,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.2,12.93,8.17176,4.75824
44,87,120,0.139913,16.1185,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.9,12.93,8.13297,4.79703
45,86,120,0.144479,16.182,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.9,12.93,8.13297,4.79703
46,87,120,0.149047,16.2442,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.7,12.94,8.11338,4.82662
47,87,122,0.153644,16.3025,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.7,12.94,8.11338,4.82662
48,87,123,0.158249,16.357,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.8,12.93,8.12004,4.80996
49,88,124,0.162861,16.4031,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.8,12.93,8.12004,4.80996
50,88,124,0.167498,16.4417,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63,12.93,8.1459,4.7841
51,88,123,0.171223,16.4709,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63,12.93,8.1459,4.7841
52,88,123,0.175873,16.5061,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.3,12.93,8.18469,4.74531
53,88,124,0.180539,16.5429,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.3,12.93,8.18469,4.74531
54,88,124,0.185206,16.5726,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.5,12.92,8.2042,4.7158
55,87,123,0.189881,16.6034,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.5,12.92,8.2042,4.7158
56,88,122,0.194567,16.6388,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.6,12.92,8.21712,4.70288
57,88,122,0.199269,16.6691,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.6,12.92,8.21712,4.70288
58,88,120,0.203983,16.6928,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.6,12.92,8.21712,4.70288
59,88,120,0.208692,16.7169,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.6,12.92,8.21712,4.70288
60,88,120,0.2134,16.7357,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.6,12.92,8.21712,4.70288
61,87,122,0.218122,16.7571,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.6,12.92,8.21712,4.70288
62,87,122,0.222869,16.7754,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.6,12.92,8.21712,4.70288
63,87,123,0.227606,16.799,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,63.9,12.93,8.26227,4.66773
64,87,122,0.231388,16.8175,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,64.3,12.94,8.32042,4.61958
65,87,121,0.236144,16.8357,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,64.3,12.94,8.32042,4.61958
66,85,120,0.240903,16.8564,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,64.7,12.93,8.36571,4.56429
67,87,119,0.245644,16.8729,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,64.7,12.93,8.36571,4.56429
68,86,119,0.250412,16.8868,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,65.1,12.93,8.41743,4.51257
69,87,117,0.255175,16.9006,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,65.1,12.93,8.41743,4.51257
70,88,117,0.25994,16.9154,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,65.6,12.93,8.48208,4.44792
71,88,118,0.264716,16.9311,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,65.6,12.93,8.48208,4.44792
